"Season","Team","Conference","StatName","StatValue"
"2024","Northern Illinois","Mid-American","passAttempts","131"
"2024","Buffalo","Mid-American","puntReturns","9"
"2024","Bowling Green","Mid-American","kickReturnTDs","1"
"2024","Bowling Green","Mid-American","fourthDowns","7"
"2024","Kent State","Mid-American","passCompletions","63"
"2024","Bowling Green","Mid-American","games","12"
"2024","Ohio","Mid-American","kickReturnTDs","0"
"2024","Buffalo","Mid-American","passingTDs","4"
"2024","Northern Illinois","Mid-American","thirdDownConversions","38"
"2024","Buffalo","Mid-American","firstDowns","68"
"2024","Ball State","Mid-American","rushingAttempts","160"
"2024","Ohio","Mid-American","fourthDowns","3"
"2024","Akron","Mid-American","fumblesLost","2"
"2024","Ball State","Mid-American","passCompletions","121"
"2024","Ohio","Mid-American","kickReturnYards","252"
"2024","Central Michigan","Mid-American","puntReturns","7"
"2024","Ohio","Mid-American","fumblesLost","5"
"2024","Ohio","Mid-American","passesIntercepted","4"
"2024","Northern Illinois","Mid-American","interceptionYards","33"
"2024","Buffalo","Mid-American","passAttempts","119"
"2024","Miami (OH)","Mid-American","puntReturnTDs","0"
"2024","Western Michigan","Mid-American","passCompletions","76"
"2024","Kent State","Mid-American","penalties","23"
"2024","Central Michigan","Mid-American","penaltyYards","255"
"2024","Bowling Green","Mid-American","sacks","15"
"2024","Akron","Mid-American","turnovers","9"
"2024","Western Michigan","Mid-American","fumblesLost","3"
"2024","Bowling Green","Mid-American","turnovers","5"
"2024","Bowling Green","Mid-American","puntReturns","11"
"2024","Miami (OH)","Mid-American","fumblesLost","0"
"2024","Toledo","Mid-American","penalties","34"
"2024","Northern Illinois","Mid-American","turnovers","9"
"2024","Ohio","Mid-American","penaltyYards","284"
"2024","Toledo","Mid-American","puntReturns","17"
"2024","Western Michigan","Mid-American","thirdDowns","58"
"2024","Western Michigan","Mid-American","interceptionTDs","0"
"2024","Bowling Green","Mid-American","firstDowns","102"
"2024","Miami (OH)","Mid-American","thirdDownConversions","23"
"2024","Western Michigan","Mid-American","fumblesRecovered","3"
"2024","Buffalo","Mid-American","thirdDowns","68"
"2024","Toledo","Mid-American","puntReturnTDs","0"
"2024","Akron","Mid-American","interceptionYards","1"
"2024","Akron","Mid-American","puntReturns","4"
"2024","Kent State","Mid-American","thirdDowns","63"
"2024","Miami (OH)","Mid-American","rushingAttempts","131"
"2024","Bowling Green","Mid-American","thirdDowns","65"
"2024","Western Michigan","Mid-American","fourthDownConversions","5"
"2024","Akron","Mid-American","fourthDowns","6"
"2024","Ohio","Mid-American","kickReturns","13"
"2024","Buffalo","Mid-American","rushingYards","603"
"2024","Kent State","Mid-American","rushingAttempts","160"
"2024","Miami (OH)","Mid-American","passingTDs","5"
"2024","Miami (OH)","Mid-American","rushingTDs","1"
"2024","Kent State","Mid-American","netPassingYards","804"
"2024","Eastern Michigan","Mid-American","fourthDowns","13"
"2024","Northern Illinois","Mid-American","rushingAttempts","226"
"2024","Eastern Michigan","Mid-American","penalties","39"
"2024","Bowling Green","Mid-American","passingTDs","5"
"2024","Buffalo","Mid-American","penaltyYards","271"
"2024","Akron","Mid-American","thirdDownConversions","23"
"2024","Ohio","Mid-American","fourthDownConversions","2"
"2024","Bowling Green","Mid-American","puntReturnYards","45"
"2024","Kent State","Mid-American","passingTDs","7"
"2024","Bowling Green","Mid-American","possessionTime","9543"
"2024","Toledo","Mid-American","thirdDowns","69"
"2024","Western Michigan","Mid-American","kickReturnYards","230"
