"Season","Team","Conference","StatName","StatValue"
"2024","Oregon","Big Ten","rushingYards","823"
"2024","Ohio State","Big Ten","puntReturnTDs","0"
"2024","Northwestern","Big Ten","firstDowns","90"
"2024","UCLA","Big Ten","turnovers","8"
"2024","Washington","Big Ten","puntReturns","9"
"2024","Northwestern","Big Ten","passAttempts","163"
"2024","Michigan State","Big Ten","rushingYards","730"
"2024","Washington","Big Ten","penaltyYards","424"
"2024","Washington","Big Ten","totalYards","2776"
"2024","Indiana","Big Ten","penalties","35"
"2024","Nebraska","Big Ten","sacks","19"
"2024","Indiana","Big Ten","puntReturns","13"
"2024","UCLA","Big Ten","rushingTDs","1"
"2024","Illinois","Big Ten","penaltyYards","226"
"2024","Maryland","Big Ten","turnovers","3"
"2024","Illinois","Big Ten","rushingTDs","4"
"2024","Rutgers","Big Ten","netPassingYards","947"
"2024","Michigan","Big Ten","fourthDowns","8"
"2024","Northwestern","Big Ten","rushingAttempts","151"
"2024","Michigan","Big Ten","firstDowns","95"
"2024","Oregon","Big Ten","interceptions","3"
"2024","Northwestern","Big Ten","thirdDownConversions","19"
"2024","Michigan","Big Ten","fourthDownConversions","7"
"2024","Minnesota","Big Ten","kickReturnYards","179"
"2024","Penn State","Big Ten","interceptions","2"
"2024","Maryland","Big Ten","kickReturnYards","68"
"2024","Iowa","Big Ten","kickReturnYards","164"
"2024","UCLA","Big Ten","penalties","36"
"2024","UCLA","Big Ten","rushingAttempts","121"
"2024","Oregon","Big Ten","interceptionTDs","0"
"2024","Rutgers","Big Ten","interceptionYards","99"
"2024","Michigan State","Big Ten","puntReturnYards","38"
"2024","Illinois","Big Ten","interceptions","1"
"2024","Maryland","Big Ten","tacklesForLoss","23"
"2024","Iowa","Big Ten","kickReturnTDs","0"
"2024","Rutgers","Big Ten","penalties","20"
"2024","Washington","Big Ten","kickReturnTDs","0"
"2024","Washington","Big Ten","penalties","45"
"2024","Wisconsin","Big Ten","thirdDowns","68"
"2024","Washington","Big Ten","rushingAttempts","197"
"2024","UCLA","Big Ten","interceptionYards","96"
"2024","Michigan State","Big Ten","penaltyYards","427"
"2024","UCLA","Big Ten","games","12"
"2024","Iowa","Big Ten","kickReturns","6"
"2024","Minnesota","Big Ten","sacks","10"
"2024","Ohio State","Big Ten","passingTDs","14"
"2024","Purdue","Big Ten","thirdDowns","59"
"2024","Maryland","Big Ten","totalYards","2257"
"2024","Maryland","Big Ten","interceptionYards","82"
"2024","Illinois","Big Ten","fumblesRecovered","3"
"2024","Illinois","Big Ten","netPassingYards","1076"
"2024","Oregon","Big Ten","passingTDs","11"
"2024","Washington","Big Ten","games","12"
"2024","Indiana","Big Ten","interceptions","2"
"2024","Penn State","Big Ten","thirdDownConversions","28"
"2024","Michigan State","Big Ten","fumblesRecovered","1"
"2024","Purdue","Big Ten","games","12"
"2024","Oregon","Big Ten","passesIntercepted","4"
"2024","Minnesota","Big Ten","passAttempts","178"
"2024","Northwestern","Big Ten","interceptions","3"
"2024","Northwestern","Big Ten","kickReturnYards","348"
"2024","Oregon","Big Ten","fumblesRecovered","1"
"2024","Nebraska","Big Ten","passesIntercepted","7"
"2024","Maryland","Big Ten","netPassingYards","1524"
"2024","Wisconsin","Big Ten","puntReturnYards","25"
"2024","Wisconsin","Big Ten","turnovers","8"
"2024","Rutgers","Big Ten","passCompletions","74"
"2024","Illinois","Big Ten","firstDowns","103"
"2024","Michigan","Big Ten","kickReturnYards","197"
"2024","UCLA","Big Ten","fumblesRecovered","1"
"2024","Illinois","Big Ten","kickReturns","4"
"2024","Oregon","Big Ten","puntReturnTDs","1"
"2024","USC","Big Ten","fumblesRecovered","4"
"2024","Nebraska","Big Ten","tacklesForLoss","42"
"2024","Penn State","Big Ten","rushingTDs","11"
"2024","Michigan State","Big Ten","thirdDownConversions","30"
"2024","Indiana","Big Ten","puntReturnTDs","0"
"2024","Indiana","Big Ten","rushingAttempts","233"
"2024","Michigan State","Big Ten","kickReturnYards","88"
