"Season","Team","Conference","StatName","StatValue"
"2024","Oregon State","Pac-12","fourthDownConversions","8"
"2024","Washington State","Pac-12","penaltyYards","298"
"2024","Oregon State","Pac-12","interceptionYards","59"
"2024","Oregon State","Pac-12","totalYards","2082"
"2024","Washington State","Pac-12","possessionTime","8578"
"2024","Washington State","Pac-12","firstDowns","116"
"2024","Washington State","Pac-12","puntReturns","6"
"2024","Washington State","Pac-12","interceptionYards","122"
"2024","Oregon State","Pac-12","thirdDowns","75"
"2024","Washington State","Pac-12","games","12"
"2024","Oregon State","Pac-12","tacklesForLoss","21"
"2024","Washington State","Pac-12","passesIntercepted","6"
"2024","Washington State","Pac-12","tacklesForLoss","27"
"2024","Washington State","Pac-12","fourthDownConversions","7"
"2024","Washington State","Pac-12","puntReturnTDs","0"
"2024","Oregon State","Pac-12","netPassingYards","760"
"2024","Washington State","Pac-12","kickReturns","10"
"2024","Oregon State","Pac-12","puntReturns","4"
"2024","Oregon State","Pac-12","passAttempts","122"
"2024","Washington State","Pac-12","passAttempts","160"
"2024","Washington State","Pac-12","fumblesRecovered","3"
"2024","Oregon State","Pac-12","games","12"
"2024","Oregon State","Pac-12","puntReturnTDs","0"
"2024","Oregon State","Pac-12","puntReturnYards","19"
"2024","Washington State","Pac-12","turnovers","5"
"2024","Oregon State","Pac-12","penaltyYards","281"
"2024","Oregon State","Pac-12","rushingAttempts","245"
"2024","Oregon State","Pac-12","kickReturnYards","133"
"2024","Oregon State","Pac-12","turnovers","3"
"2024","Washington State","Pac-12","rushingAttempts","191"
"2024","Oregon State","Pac-12","kickReturns","8"
"2024","Oregon State","Pac-12","rushingYards","1322"
"2024","Washington State","Pac-12","penalties","35"
"2024","Washington State","Pac-12","kickReturnTDs","0"
"2024","Washington State","Pac-12","puntReturnYards","58"
"2024","Washington State","Pac-12","rushingTDs","13"
"2024","Oregon State","Pac-12","fumblesRecovered","3"
"2024","Oregon State","Pac-12","sacks","4"
"2024","Washington State","Pac-12","totalYards","2477"
"2024","Oregon State","Pac-12","firstDowns","122"
"2024","Washington State","Pac-12","netPassingYards","1490"
"2024","Washington State","Pac-12","kickReturnYards","257"
"2024","Oregon State","Pac-12","thirdDownConversions","38"
"2024","Oregon State","Pac-12","passesIntercepted","3"
"2024","Washington State","Pac-12","interceptions","5"
"2024","Washington State","Pac-12","thirdDownConversions","28"
"2024","Oregon State","Pac-12","passCompletions","77"
"2024","Washington State","Pac-12","passCompletions","95"
"2024","Washington State","Pac-12","sacks","5"
"2024","Washington State","Pac-12","interceptionTDs","1"
"2024","Oregon State","Pac-12","possessionTime","10983"
"2024","Washington State","Pac-12","fumblesLost","0"
"2024","Oregon State","Pac-12","interceptions","1"
"2024","Oregon State","Pac-12","passingTDs","2"
"2024","Washington State","Pac-12","passingTDs","14"
"2024","Washington State","Pac-12","fourthDowns","13"
"2024","Washington State","Pac-12","thirdDowns","66"
"2024","Oregon State","Pac-12","rushingTDs","17"
"2024","Oregon State","Pac-12","fumblesLost","2"
"2024","Oregon State","Pac-12","kickReturnTDs","0"
"2024","Oregon State","Pac-12","fourthDowns","14"
"2024","Washington State","Pac-12","rushingYards","987"
"2024","Oregon State","Pac-12","penalties","31"
"2024","Oregon State","Pac-12","interceptionTDs","1"
