"Season","Team","Conference","StatName","StatValue"
"2024","Texas A&M","SEC","passesIntercepted","7"
"2024","Vanderbilt","SEC","games","12"
"2024","Vanderbilt","SEC","totalYards","1835"
"2024","Texas A&M","SEC","fumblesRecovered","2"
"2024","South Carolina","SEC","kickReturnYards","87"
"2024","Vanderbilt","SEC","rushingAttempts","211"
"2024","Ole Miss","SEC","sacks","24"
"2024","Missouri","SEC","fourthDowns","8"
"2024","Arkansas","SEC","puntReturnYards","47"
"2024","South Carolina","SEC","firstDowns","95"
"2024","Oklahoma","SEC","kickReturnTDs","0"
"2024","Ole Miss","SEC","puntReturnTDs","0"
"2024","Auburn","SEC","interceptionYards","52"
"2024","Tennessee","SEC","firstDowns","119"
"2024","South Carolina","SEC","kickReturnTDs","0"
"2024","Texas","SEC","interceptionYards","106"
"2024","Kentucky","SEC","fourthDownConversions","4"
"2024","Vanderbilt","SEC","penaltyYards","353"
"2024","Tennessee","SEC","puntReturnYards","245"
"2024","Ole Miss","SEC","rushingYards","1224"
"2024","Vanderbilt","SEC","interceptions","0"
"2024","LSU","SEC","passAttempts","202"
"2024","Mississippi State","SEC","rushingYards","689"
"2024","South Carolina","SEC","tacklesForLoss","35"
"2024","Tennessee","SEC","rushingAttempts","233"
"2024","Missouri","SEC","puntReturnYards","46"
"2024","Vanderbilt","SEC","passesIntercepted","5"
"2024","Florida","SEC","fumblesRecovered","2"
"2024","Oklahoma","SEC","interceptionTDs","1"
"2024","Georgia","SEC","thirdDownConversions","23"
"2024","Oklahoma","SEC","fumblesLost","2"
"2024","Florida","SEC","puntReturnYards","100"
"2024","Oklahoma","SEC","rushingTDs","7"
"2024","Florida","SEC","fumblesLost","2"
"2024","Mississippi State","SEC","passingTDs","8"
"2024","Tennessee","SEC","interceptions","3"
"2024","Missouri","SEC","tacklesForLoss","27"
"2024","Kentucky","SEC","netPassingYards","852"
"2024","Missouri","SEC","possessionTime","10034"
"2024","Texas","SEC","fourthDowns","8"
"2024","Tennessee","SEC","interceptionYards","102"
"2024","Auburn","SEC","puntReturnYards","107"
"2024","Texas A&M","SEC","games","12"
"2024","Oklahoma","SEC","kickReturns","3"
"2024","LSU","SEC","passesIntercepted","2"
"2024","Vanderbilt","SEC","possessionTime","9710"
"2024","Florida","SEC","kickReturnTDs","0"
"2024","Texas A&M","SEC","rushingTDs","13"
"2024","Alabama","SEC","passAttempts","123"
"2024","South Carolina","SEC","thirdDowns","70"
"2024","Auburn","SEC","firstDowns","121"
"2024","South Carolina","SEC","rushingAttempts","227"
