"Season","Team","Conference","StatName","StatValue"
"2024","Clemson","ACC","rushingYards","983"
"2024","Georgia Tech","ACC","firstDowns","132"
"2024","Georgia Tech","ACC","fourthDowns","13"
"2024","Virginia Tech","ACC","puntReturnTDs","1"
"2024","Wake Forest","ACC","puntReturns","6"
"2024","Duke","ACC","penaltyYards","294"
"2024","Stanford","ACC","totalYards","1693"
"2024","Pittsburgh","ACC","fourthDownConversions","5"
"2024","NC State","ACC","interceptions","5"
"2024","Syracuse","ACC","kickReturnTDs","0"
"2024","Miami","ACC","games","12"
"2024","Louisville","ACC","thirdDownConversions","26"
"2024","NC State","ACC","thirdDownConversions","28"
"2024","Miami","ACC","totalYards","3503"
"2024","Florida State","ACC","thirdDownConversions","24"
"2024","California","ACC","firstDowns","90"
"2024","Duke","ACC","firstDowns","109"
"2024","Stanford","ACC","puntReturnTDs","1"
"2024","SMU","ACC","games","12"
"2024","Virginia Tech","ACC","penaltyYards","236"
"2024","Clemson","ACC","interceptionTDs","1"
"2024","Wake Forest","ACC","interceptionYards","32"
"2024","SMU","ACC","fumblesLost","5"
"2024","Syracuse","ACC","fourthDowns","8"
"2024","Duke","ACC","puntReturns","19"
"2024","Boston College","ACC","turnovers","9"
"2024","Virginia","ACC","firstDowns","106"
"2024","Virginia","ACC","totalYards","2161"
"2024","SMU","ACC","thirdDownConversions","37"
"2024","California","ACC","games","12"
"2024","Wake Forest","ACC","rushingTDs","10"
"2024","Pittsburgh","ACC","interceptions","3"
"2024","North Carolina","ACC","puntReturnTDs","1"
"2024","Wake Forest","ACC","sacks","6"
"2024","Boston College","ACC","tacklesForLoss","25"
"2024","Georgia Tech","ACC","rushingTDs","16"
"2024","Miami","ACC","fumblesLost","1"
"2024","Clemson","ACC","thirdDownConversions","24"
"2024","NC State","ACC","passAttempts","193"
"2024","Syracuse","ACC","interceptionTDs","1"
"2024","Stanford","ACC","puntReturnYards","107"
"2024","North Carolina","ACC","passesIntercepted","2"
"2024","California","ACC","penalties","44"
"2024","Miami","ACC","turnovers","6"
"2024","NC State","ACC","interceptionYards","147"
"2024","Miami","ACC","puntReturnTDs","0"
"2024","Virginia Tech","ACC","puntReturns","11"
"2024","Pittsburgh","ACC","turnovers","4"
"2024","Clemson","ACC","kickReturnYards","120"
"2024","Wake Forest","ACC","fourthDownConversions","10"
"2024","Virginia","ACC","puntReturnYards","36"
"2024","Virginia","ACC","passesIntercepted","3"
"2024","Stanford","ACC","passingTDs","9"
"2024","Clemson","ACC","passingTDs","14"
"2024","Stanford","ACC","fourthDowns","16"
"2024","Pittsburgh","ACC","rushingYards","909"
