"Season","Team","Conference","StatName","StatValue"
"2024","Fresno State","Mountain West","tacklesForLoss","24"
"2024","Utah State","Mountain West","fumblesLost","1"
"2024","Colorado State","Mountain West","interceptions","5"
"2024","San Diego State","Mountain West","games","12"
"2024","Air Force","Mountain West","interceptionTDs","0"
"2024","Air Force","Mountain West","fourthDowns","16"
"2024","San José State","Mountain West","kickReturns","10"
"2024","San José State","Mountain West","thirdDowns","66"
"2024","Nevada","Mountain West","passesIntercepted","3"
"2024","Colorado State","Mountain West","passesIntercepted","3"
"2024","New Mexico","Mountain West","kickReturnTDs","0"
"2024","Nevada","Mountain West","penalties","53"
"2024","Colorado State","Mountain West","kickReturnYards","112"
"2024","Fresno State","Mountain West","passesIntercepted","7"
"2024","Boise State","Mountain West","passCompletions","97"
"2024","Fresno State","Mountain West","fourthDowns","8"
"2024","San Diego State","Mountain West","rushingAttempts","179"
"2024","Hawai'i","Mountain West","thirdDownConversions","25"
"2024","San José State","Mountain West","interceptions","4"
"2024","New Mexico","Mountain West","rushingYards","998"
"2024","Hawai'i","Mountain West","interceptions","6"
"2024","Air Force","Mountain West","fumblesLost","2"
"2024","Utah State","Mountain West","sacks","6"
"2024","Wyoming","Mountain West","possessionTime","8275"
"2024","San Diego State","Mountain West","puntReturnTDs","0"
"2024","Wyoming","Mountain West","games","12"
"2024","New Mexico","Mountain West","interceptionYards","0"
"2024","San Diego State","Mountain West","puntReturnYards","40"
"2024","New Mexico","Mountain West","interceptions","6"
"2024","Wyoming","Mountain West","kickReturnYards","272"
"2024","Utah State","Mountain West","penalties","41"
"2024","Utah State","Mountain West","interceptionYards","15"
"2024","New Mexico","Mountain West","fourthDowns","9"
"2024","Wyoming","Mountain West","passesIntercepted","1"
"2024","Hawai'i","Mountain West","puntReturnYards","99"
"2024","New Mexico","Mountain West","turnovers","8"
"2024","San Diego State","Mountain West","kickReturnYards","103"
"2024","Wyoming","Mountain West","kickReturnTDs","1"
"2024","Boise State","Mountain West","passingTDs","10"
"2024","UNLV","Mountain West","sacks","12"
"2024","Utah State","Mountain West","firstDowns","94"
"2024","Air Force","Mountain West","passingTDs","1"
"2024","Hawai'i","Mountain West","fumblesLost","1"
"2024","Utah State","Mountain West","thirdDownConversions","25"
"2024","New Mexico","Mountain West","passAttempts","193"
"2024","Hawai'i","Mountain West","rushingTDs","3"
"2024","New Mexico","Mountain West","thirdDownConversions","24"
"2024","Nevada","Mountain West","rushingYards","1161"
"2024","Nevada","Mountain West","fumblesLost","1"
"2024","San José State","Mountain West","kickReturnYards","193"
"2024","San Diego State","Mountain West","fourthDownConversions","7"
"2024","San José State","Mountain West","puntReturns","5"
"2024","New Mexico","Mountain West","sacks","14"
"2024","Colorado State","Mountain West","firstDowns","85"
"2024","UNLV","Mountain West","kickReturnTDs","1"
"2024","UNLV","Mountain West","rushingYards","1263"
"2024","New Mexico","Mountain West","puntReturnTDs","0"
"2024","Wyoming","Mountain West","sacks","5"
"2024","Utah State","Mountain West","fourthDownConversions","5"
"2024","Utah State","Mountain West","kickReturns","12"
"2024","Nevada","Mountain West","fourthDownConversions","4"
"2024","San José State","Mountain West","passingTDs","17"
"2024","Colorado State","Mountain West","interceptionTDs","0"
"2024","Nevada","Mountain West","kickReturns","14"
"2024","Utah State","Mountain West","passAttempts","183"
