"Season","Team","Conference","StatName","StatValue"
"2024","Florida International","Conference USA","interceptionTDs","2"
"2024","UTEP","Conference USA","puntReturnTDs","0"
"2024","Sam Houston","Conference USA","rushingAttempts","282"
"2024","Liberty","Conference USA","kickReturnYards","194"
"2024","Kennesaw State","Conference USA","thirdDowns","80"
"2024","UTEP","Conference USA","interceptionTDs","0"
"2024","Sam Houston","Conference USA","totalYards","2414"
"2024","New Mexico State","Conference USA","fourthDownConversions","4"
"2024","Sam Houston","Conference USA","puntReturns","10"
"2024","Liberty","Conference USA","turnovers","5"
"2024","Middle Tennessee","Conference USA","passCompletions","111"
"2024","Jacksonville State","Conference USA","kickReturns","2"
"2024","Jacksonville State","Conference USA","penalties","34"
"2024","Louisiana Tech","Conference USA","fourthDowns","7"
"2024","Kennesaw State","Conference USA","firstDowns","63"
"2024","Sam Houston","Conference USA","kickReturnTDs","0"
"2024","Sam Houston","Conference USA","penalties","28"
"2024","Kennesaw State","Conference USA","fumblesLost","3"
"2024","Florida International","Conference USA","rushingYards","535"
"2024","Middle Tennessee","Conference USA","sacks","8"
"2024","Western Kentucky","Conference USA","penalties","25"
"2024","Jacksonville State","Conference USA","games","12"
"2024","Kennesaw State","Conference USA","fourthDownConversions","6"
"2024","Western Kentucky","Conference USA","puntReturns","5"
"2024","Kennesaw State","Conference USA","passAttempts","117"
"2024","Florida International","Conference USA","possessionTime","7887"
"2024","Middle Tennessee","Conference USA","firstDowns","90"
"2024","Jacksonville State","Conference USA","rushingTDs","17"
"2024","New Mexico State","Conference USA","fumblesLost","2"
"2024","Liberty","Conference USA","passingTDs","7"
"2024","Liberty","Conference USA","interceptions","1"
"2024","Middle Tennessee","Conference USA","rushingTDs","5"
"2024","Florida International","Conference USA","passesIntercepted","6"
"2024","Kennesaw State","Conference USA","fumblesRecovered","5"
"2024","Louisiana Tech","Conference USA","games","12"
"2024","Florida International","Conference USA","rushingTDs","8"
"2024","Western Kentucky","Conference USA","possessionTime","8578"
"2024","Louisiana Tech","Conference USA","rushingTDs","5"
"2024","Western Kentucky","Conference USA","totalYards","1911"
"2024","Middle Tennessee","Conference USA","passesIntercepted","2"
"2024","Jacksonville State","Conference USA","puntReturnTDs","0"
"2024","New Mexico State","Conference USA","kickReturnTDs","0"
"2024","Louisiana Tech","Conference USA","fumblesRecovered","2"
"2024","Florida International","Conference USA","puntReturns","5"
"2024","New Mexico State","Conference USA","passCompletions","54"
"2024","Jacksonville State","Conference USA","firstDowns","112"
"2024","Western Kentucky","Conference USA","fourthDowns","15"
"2024","UTEP","Conference USA","tacklesForLoss","31"
"2024","UTEP","Conference USA","totalYards","1610"
"2024","Liberty","Conference USA","penalties","33"
"2024","Louisiana Tech","Conference USA","penalties","20"
"2024","Louisiana Tech","Conference USA","fourthDownConversions","3"
"2024","Liberty","Conference USA","fumblesRecovered","4"
"2024","Jacksonville State","Conference USA","fourthDownConversions","4"
"2024","UTEP","Conference USA","interceptions","7"
"2024","Middle Tennessee","Conference USA","games","12"
"2024","Sam Houston","Conference USA","fumblesLost","3"
"2024","Liberty","Conference USA","passCompletions","68"
"2024","Sam Houston","Conference USA","interceptionTDs","1"
"2024","Middle Tennessee","Conference USA","interceptions","4"
"2024","New Mexico State","Conference USA","passingTDs","4"
"2024","Florida International","Conference USA","fumblesLost","5"
"2024","Jacksonville State","Conference USA","thirdDowns","57"
"2024","Kennesaw State","Conference USA","netPassingYards","653"
"2024","Sam Houston","Conference USA","rushingYards","1380"
"2024","Liberty","Conference USA","puntReturnYards","83"
"2024","Jacksonville State","Conference USA","puntReturnYards","18"
"2024","Louisiana Tech","Conference USA","puntReturns","15"
"2024","Liberty","Conference USA","thirdDownConversions","28"
"2024","UTEP","Conference USA","turnovers","10"
"2024","Western Kentucky","Conference USA","kickReturnYards","164"
"2024","Sam Houston","Conference USA","possessionTime","12116"
"2024","Jacksonville State","Conference USA","totalYards","2183"
"2024","Louisiana Tech","Conference USA","puntReturnTDs","0"
"2024","Middle Tennessee","Conference USA","thirdDowns","68"
