"Season","Team","Conference","StatName","StatValue"
"2024","Cincinnati","Big 12","puntReturnTDs","0"
"2024","Baylor","Big 12","fourthDownConversions","11"
"2024","Kansas State","Big 12","netPassingYards","901"
"2024","Oklahoma State","Big 12","possessionTime","8977"
"2024","UCF","Big 12","fourthDownConversions","5"
"2024","Iowa State","Big 12","interceptions","4"
"2024","UCF","Big 12","netPassingYards","1034"
"2024","Utah","Big 12","kickReturnYards","51"
"2024","Iowa State","Big 12","fumblesLost","0"
"2024","Houston","Big 12","kickReturns","11"
"2024","West Virginia","Big 12","sacks","11"
"2024","West Virginia","Big 12","possessionTime","9078"
"2024","Houston","Big 12","interceptions","6"
"2024","Arizona","Big 12","passesIntercepted","2"
"2024","Kansas","Big 12","games","12"
"2024","Houston","Big 12","interceptionYards","58"
"2024","Houston","Big 12","thirdDownConversions","22"
"2024","TCU","Big 12","tacklesForLoss","29"
"2024","Colorado","Big 12","netPassingYards","1630"
"2024","UCF","Big 12","fumblesRecovered","0"
"2024","Kansas","Big 12","passAttempts","167"
"2024","Oklahoma State","Big 12","rushingTDs","6"
"2024","Iowa State","Big 12","thirdDownConversions","29"
"2024","UCF","Big 12","games","12"
"2024","West Virginia","Big 12","rushingYards","1116"
"2024","Houston","Big 12","netPassingYards","929"
"2024","BYU","Big 12","rushingTDs","6"
"2024","West Virginia","Big 12","passingTDs","8"
"2024","UCF","Big 12","firstDowns","130"
"2024","UCF","Big 12","passesIntercepted","5"
"2024","Kansas State","Big 12","possessionTime","8684"
"2024","Arizona","Big 12","kickReturns","14"
"2024","BYU","Big 12","turnovers","6"
"2024","Arizona","Big 12","fourthDowns","7"
"2024","Baylor","Big 12","sacks","12"
"2024","Houston","Big 12","kickReturnTDs","0"
"2024","TCU","Big 12","fumblesRecovered","1"
"2024","Houston","Big 12","sacks","11"
"2024","Cincinnati","Big 12","passAttempts","167"
"2024","Kansas","Big 12","fourthDownConversions","6"
"2024","West Virginia","Big 12","totalYards","2199"
"2024","TCU","Big 12","rushingTDs","10"
"2024","TCU","Big 12","interceptionYards","20"
"2024","Cincinnati","Big 12","tacklesForLoss","32"
"2024","Kansas","Big 12","rushingYards","1283"
"2024","BYU","Big 12","thirdDowns","61"
"2024","Arizona","Big 12","rushingYards","739"
"2024","Arizona","Big 12","possessionTime","9166"
"2024","Houston","Big 12","firstDowns","90"
"2024","UCF","Big 12","kickReturnTDs","0"
"2024","West Virginia","Big 12","thirdDowns","62"
"2024","Arizona State","Big 12","penaltyYards","288"
"2024","UCF","Big 12","possessionTime","9257"
"2024","West Virginia","Big 12","rushingAttempts","211"
"2024","TCU","Big 12","games","12"
"2024","Baylor","Big 12","kickReturnTDs","1"
"2024","Iowa State","Big 12","interceptionYards","73"
"2024","Houston","Big 12","puntReturnYards","82"
"2024","Arizona State","Big 12","puntReturnYards","74"
"2024","Iowa State","Big 12","tacklesForLoss","29"
"2024","Kansas","Big 12","rushingAttempts","224"
"2024","Texas Tech","Big 12","kickReturnTDs","0"
"2024","Cincinnati","Big 12","firstDowns","118"
"2024","Kansas","Big 12","kickReturnYards","230"
"2024","Oklahoma State","Big 12","interceptionTDs","1"
"2024","Colorado","Big 12","totalYards","2033"
"2024","Utah","Big 12","puntReturns","13"
"2024","Oklahoma State","Big 12","fumblesRecovered","3"
"2024","Utah","Big 12","kickReturns","4"
"2024","Kansas State","Big 12","penalties","24"
"2024","West Virginia","Big 12","tacklesForLoss","32"
"2024","TCU","Big 12","thirdDowns","78"
"2024","West Virginia","Big 12","passesIntercepted","3"
"2024","Baylor","Big 12","totalYards","2181"
"2024","Kansas State","Big 12","fumblesLost","2"
"2024","Arizona","Big 12","passAttempts","179"
"2024","Arizona State","Big 12","fumblesLost","1"
"2024","Baylor","Big 12","thirdDowns","84"
"2024","Kansas","Big 12","thirdDownConversions","39"
"2024","West Virginia","Big 12","puntReturns","8"
"2024","Iowa State","Big 12","rushingYards","917"
"2024","Texas Tech","Big 12","thirdDownConversions","44"
"2024","Arizona","Big 12","sacks","11"
"2024","West Virginia","Big 12","passCompletions","76"
"2024","Texas Tech","Big 12","fumblesLost","5"
"2024","TCU","Big 12","possessionTime","10241"
"2024","West Virginia","Big 12","games","12"
"2024","Utah","Big 12","interceptionYards","47"
"2024","Arizona State","Big 12","rushingYards","1108"
"2024","Texas Tech","Big 12","interceptions","3"
"2024","Iowa State","Big 12","netPassingYards","1222"
"2024","West Virginia","Big 12","penalties","18"
"2024","Cincinnati","Big 12","passesIntercepted","3"
"2024","Texas Tech","Big 12","netPassingYards","1741"
"2024","Arizona State","Big 12","rushingTDs","11"
"2024","Utah","Big 12","thirdDowns","73"
"2024","Arizona","Big 12","puntReturnYards","68"
"2024","Arizona","Big 12","fumblesLost","2"
"2024","West Virginia","Big 12","penaltyYards","141"
"2024","Utah","Big 12","puntReturnYards","55"
